model,dataset,task,time_sec,ram_mb,vram_mb,vram_system_peak_mb,vram_torch_peak_mb,cpu_percent_avg,gpu_util_percent_avg,gpu_util_percent_peak,accuracy,precision,recall,f1_score,auc,fpr
Linear SVC,raw_urls,Inference,0.0318,1452.86,16.25,998.06,16.25,147.2,0.0,0,0.9907,0.5163,0.9922,0.6791,0.9991,0.0093
Linear SVC,raw_urls,Training,6.958,1454.64,16.25,1036.37,16.25,105.5,6.8,54,,,,,,
Linear SVC,raw_urls,Inference,0.032,1454.64,16.25,1002.03,16.25,48.9,0.3,1,0.9918,0.5458,1.0,0.7062,0.9996,0.0083
Linear SVC (PhiUSIIL),PhiUSIIL,Training,8.4869,1454.76,16.25,1002.03,16.25,108.6,1.2,17,,,,,,
Linear SVC (PhiUSIIL),PhiUSIIL,Inference,0.0209,1455.46,16.25,1002.03,16.25,149.8,0.0,0,0.9906,0.5115,1.0,0.6768,0.9983,0.0095
Linear SVC (PhiUSIIL),PhiUSIIL,Training,6.1389,1459.86,16.25,1002.03,16.25,107.2,2.5,17,,,,,,
Linear SVC (PhiUSIIL),PhiUSIIL,Inference,0.0216,1460.57,16.25,1002.03,16.25,144.4,1.0,1,0.9908,0.518,1.0,0.6825,0.9977,0.0093
Linear SVC (PhiUSIIL),PhiUSIIL,Training,7.8236,1463.91,16.25,1002.03,16.25,107.8,2.0,16,,,,,,
Linear SVC (PhiUSIIL),PhiUSIIL,Inference,0.021,1464.31,16.25,1002.03,16.25,74.3,0.0,0,0.9917,0.5418,1.0,0.7028,0.9981,0.0084
XGBoost,numeric_features,Training,2.3675,2299.39,16.25,1146.03,16.25,512.8,43.1,82,,,,,,
XGBoost,numeric_features,Inference,0.23,2299.48,16.25,1142.03,16.25,1080.4,50.0,50,0.9961,0.7418,0.9308,0.8256,0.9953,0.0032
XGBoost,numeric_features,Training,1.8886,2321.97,16.25,1142.03,16.25,572.5,42.3,84,,,,,,
XGBoost,numeric_features,Inference,0.1863,2322.01,16.25,1142.03,16.25,1350.1,56.9,79,0.9956,0.7162,0.9272,0.8082,0.9955,0.0037
XGBoost,numeric_features,Training,2.0746,2325.55,16.25,1167.78,16.25,537.8,49.1,95,,,,,,
XGBoost,numeric_features,Inference,0.184,2325.62,16.25,1178.03,16.25,1282.1,72.0,72,0.996,0.7346,0.9354,0.8229,0.996,0.0034
XGBoost (PhiUSIIL),PhiUSIIL,Training,0.7304,1684.94,16.25,1062.84,16.25,474.9,19.5,62,,,,,,
XGBoost (PhiUSIIL),PhiUSIIL,Inference,0.0337,1684.95,16.25,1018.46,16.25,1436.7,62.0,62,0.9998,0.9757,1.0,0.9877,1.0,0.0002
XGBoost (PhiUSIIL),PhiUSIIL,Training,0.6349,1690.4,16.25,1052.71,16.25,521.7,2.0,61,,,,,,
XGBoost (PhiUSIIL),PhiUSIIL,Inference,0.0428,1690.42,16.25,1008.71,16.25,1532.9,61.0,61,0.9999,0.9853,1.0,0.9926,1.0,0.0001
XGBoost (PhiUSIIL),PhiUSIIL,Training,0.6258,1693.46,16.25,1052.71,16.25,521.8,18.8,29,,,,,,
XGBoost (PhiUSIIL),PhiUSIIL,Inference,0.0314,1693.49,16.25,1016.71,16.25,1491.6,38.3,43,0.9999,0.9853,1.0,0.9926,1.0,0.0001
Logistic Regression,numeric_features,Training,3.8719,2583.52,283.85,1280.71,283.85,154.2,40.1,100,,,,,,
Logistic Regression,numeric_features,Inference,0.1042,2344.12,82.92,1078.71,82.92,735.1,37.0,37,0.9836,0.3587,0.8357,0.5019,0.9763,0.0149
Logistic Regression,numeric_features,Training,3.8188,2578.84,283.85,1280.71,283.85,155.1,34.2,37,,,,,,
Logistic Regression,numeric_features,Inference,0.0836,2337.15,82.92,1078.71,82.92,747.7,37.0,37,0.9822,0.3391,0.8462,0.4842,0.9767,0.0165
Logistic Regression,numeric_features,Training,3.7973,2577.84,283.85,1280.71,283.85,159.7,40.7,100,,,,,,
Logistic Regression,numeric_features,Inference,0.0942,2336.5,82.92,1078.71,82.92,663.7,34.3,37,0.9826,0.3452,0.8451,0.4901,0.9826,0.016
Logistic Regression (PhiUSIIL),PhiUSIIL,Training,1.5781,1780.74,53.26,1060.71,53.26,190.1,25.7,40,,,,,,
Logistic Regression (PhiUSIIL),PhiUSIIL,Inference,0.0218,1752.74,20.16,1010.71,20.16,1144.8,29.0,29,0.9979,0.8272,1.0,0.9054,1.0,0.0021
Logistic Regression (PhiUSIIL),PhiUSIIL,Training,1.5748,1784.68,53.26,1060.71,53.26,191.5,23.5,53,,,,,,
Logistic Regression (PhiUSIIL),PhiUSIIL,Inference,0.0221,1757.15,20.16,1010.71,20.16,1060.7,17.0,17,0.9979,0.8238,1.0,0.9034,1.0,0.0021
Logistic Regression (PhiUSIIL),PhiUSIIL,Training,1.6128,1785.79,53.26,1060.71,53.26,188.9,36.9,61,,,,,,
Logistic Regression (PhiUSIIL),PhiUSIIL,Inference,0.0213,1758.15,20.16,1010.71,20.16,1172.0,21.0,21,0.9983,0.8517,1.0,0.9199,1.0,0.0017
